object,field,RA,DEC,radius_aper(pixel),uJava,F378,F395,F410,F430,gSDSS,F515,rSDSS,F660,iSDSS,F861,zSDSS,e_uJava,e_F378,e_F395,e_F410,e_F430,e_gSDSS,e_F515,e_rSDSS,e_F660,e_iSDSS,e_F861,e_zSDSS
Cl Kron 63,MC0095,17.696667,-72.793335,50.0,14.813803387614481,14.331720573154737,13.961516277014072,13.770485632713225,13.770588718808058,13.662978032644103,13.587902668130678,13.508146673439429,13.598105143709503,13.437004341700382,13.474431420355945,13.423707215953126,0.14813803387614483,0.14331720573154738,0.13961516277014072,0.13770485632713225,0.13770588718808058,0.13662978032644105,0.13587902668130677,0.13508146673439428,0.13598105143709505,0.13437004341700381,0.13474431420355945,0.13423707215953126
Cl Kron 63,MC0116,17.696667,-72.793335,50.0,14.786612721858663,14.28130611048298,14.01107991510353,13.7651786291682,13.728618470962346,13.654058125801777,13.583557499121682,13.485248191533689,13.572562495181781,13.46158519333375,13.493348246213536,13.458876397231949,0.14786612721858663,0.1428130611048298,0.1401107991510353,0.137651786291682,0.13728618470962345,0.13654058125801777,0.13583557499121682,0.13485248191533689,0.1357256249518178,0.1346158519333375,0.13493348246213535,0.1345887639723195
Cl Lindsay 100,MC0095,19.570417,-72.00166,55.00000000000001,15.853628147478982,15.331605986514719,15.377453444820091,14.826145241640578,14.734562355013896,14.43714276973732,14.255113723364854,13.93570896872898,13.881882895477101,13.732284613475622,13.66709187213732,13.665137644774065,0.15853628147478982,0.15331605986514718,0.1537745344482009,0.1482614524164058,0.14734562355013897,0.1443714276973732,0.14255113723364854,0.1393570896872898,0.13881882895477102,0.13732284613475623,0.1366709187213732,0.13665137644774064
Cl Lindsay 91,MC0116,18.215,-73.118614,70.0,15.17892659522208,14.824959157585575,14.776361531360408,14.4074410386771,14.285784023085677,13.93449924210448,13.792291188971724,13.367735491302136,13.286155028589937,13.105925221478731,13.042747968460493,12.996269423641754,0.1517892659522208,0.14824959157585574,0.14776361531360407,0.144074410386771,0.14285784023085676,0.13934499242104478,0.13792291188971725,0.13367735491302138,0.13286155028589935,0.13105925221478731,0.13042747968460494,0.12996269423641754
OGLE-CL SMC  319,MC0092,6.191667,-72.79389,190.0,12.064880345454997,11.735540672205033,11.637628624501685,11.088908792509418,10.983847380719965,10.700245521904987,10.40687651527718,10.161557830918339,10.04574010310574,9.950467149595166,9.793403309658594,9.80387844555173,0.12064880345454997,0.11735540672205033,0.11637628624501685,0.11088908792509418,0.10983847380719965,0.10700245521904987,0.1040687651527718,0.10161557830918339,0.1004574010310574,0.09950467149595166,0.09793403309658594,0.0980387844555173
OGLE-CL SMC  319,MC0113,6.191667,-72.79389,190.0,11.954868940284257,11.630161909959172,11.577781432764315,10.97261894429612,10.88344523420499,10.55536334364309,10.313807981861157,10.058539283269344,9.987494072260516,9.897973554827804,9.749409144677426,9.769533555064953,0.11954868940284258,0.11630161909959172,0.11577781432764316,0.1097261894429612,0.1088344523420499,0.10555363343643091,0.10313807981861156,0.10058539283269344,0.09987494072260517,0.09897973554827803,0.09749409144677426,0.09769533555064953
Bruck 99,MC0115,15.117917,-73.08611,45.0,15.254198488209457,14.704887427461465,14.574999607245996,14.270184642531905,14.195332642161713,13.973289551523758,13.942442283937494,13.63202821723153,13.60987189475157,13.45696736307043,13.430737268353766,13.400799660313226,0.15254198488209458,0.14704887427461466,0.14574999607245995,0.14270184642531905,0.14195332642161712,0.13973289551523757,0.13942442283937495,0.13632028217231532,0.1360987189475157,0.1345696736307043,0.13430737268353768,0.13400799660313226
Cl Kron 13,MC0114,8.92375,-73.5975,105.0,14.35286752998548,13.945911301380468,13.825915894255235,13.298682237677413,13.18592281381453,12.752037674141596,12.619191249215628,12.199478075093193,12.130745041032625,11.932111880602747,11.891068105359844,11.836145129521183,0.1435286752998548,0.13945911301380468,0.13825915894255236,0.13298682237677414,0.1318592281381453,0.12752037674141595,0.12619191249215628,0.12199478075093194,0.12130745041032626,0.11932111880602747,0.11891068105359845,0.11836145129521183
NGC411,MC0095,16.980417,-71.76778,114.99999999999999,13.28670538222774,12.850381406162558,12.662178371085194,12.23123306425917,12.176046924804236,11.84443674530069,11.727081567498004,11.365598879168127,11.302266981855814,11.13600463522534,11.035430144504783,10.99915479937161,0.1328670538222774,0.1285038140616256,0.12662178371085195,0.1223123306425917,0.12176046924804236,0.1184443674530069,0.11727081567498004,0.11365598879168128,0.11302266981855814,0.11136004635225341,0.11035430144504783,0.1099915479937161
NGC330,MC0094,14.077917,-72.46333,155.0,9.492669156802638,9.234794532553392,9.1319184418452,9.030999903144771,9.06561918397483,9.080580971216172,9.048837656682359,9.017616383197216,8.947381084443144,8.962099528081003,8.896574042400854,8.881208578496052,0.09492669156802638,0.09234794532553392,0.09131918441845199,0.09030999903144771,0.0906561918397483,0.09080580971216172,0.0904883765668236,0.09017616383197216,0.08947381084443144,0.08962099528081004,0.08896574042400854,0.08881208578496053
Cl Kron 44,MC0115,15.516667,-73.925835,160.0,14.067862778454673,13.76197892179044,13.76360402137795,13.246320373992166,13.087173178716483,12.546753041571302,12.383503843188182,11.857039208934772,11.778481050740728,11.555236261704358,11.479323826463524,11.432018026151889,0.14067862778454673,0.1376197892179044,0.13763604021377948,0.13246320373992165,0.13087173178716482,0.125467530415713,0.12383503843188182,0.11857039208934772,0.11778481050740729,0.11555236261704359,0.11479323826463525,0.1143201802615189
Cl Kron 44,MC0135,15.516667,-73.925835,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
[BS95] 90,MC0094,14.77,-72.153336,55.00000000000001,13.877132790133441,14.442690949933002,13.2690902879043,13.01853809759481,12.936914623739003,12.492556556450882,12.525386226103056,12.275403585410277,11.697354256007404,12.009031394841859,11.933358234992951,11.915460932551,0.13877132790133442,0.14442690949933001,0.132690902879043,0.1301853809759481,0.12936914623739004,0.12492556556450883,0.12525386226103055,0.12275403585410277,0.11697354256007404,0.1200903139484186,0.11933358234992952,0.11915460932551
NGC152,MC0114,8.234583,-73.11583,165.0,13.570113419057533,13.16374928730777,13.017287482526996,12.550277573098528,12.458220231973336,12.073989839533448,11.925459344773477,11.488287398761813,11.42422541175892,11.192230170307141,11.074346086318107,11.017895319822436,0.13570113419057533,0.1316374928730777,0.13017287482526996,0.12550277573098528,0.12458220231973335,0.12073989839533449,0.11925459344773477,0.11488287398761812,0.1142422541175892,0.11192230170307141,0.11074346086318107,0.11017895319822436
OGLE-CL SMC 133,MC0094,15.630417,-72.31834,45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
