object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
Bruck 139,17.610832,-71.56556,8.3,199526231.496888,0.0,0.0,0.072,MC0095,C,0.65,0.55,0.0,0.0,GGK10,
Bruck 143,18.183332,-72.75,8.25,177827941.003892,0.0,0.0,0.1019,MC0095,C,0.5,0.5,1.0,1.0,GGK10,
Bruck 143,18.183332,-72.75,8.25,177827941.003892,0.0,0.0,0.1019,MC0116,C,0.5,0.5,3.0,3.0,GGK10,
Bruck 149,18.646667,-72.99556,0.0,0.00,0.0,0.0,0.1022,MC0116,C,0.5,0.5,0.0,0.0,,
NoName_2,18.49375,-72.148056,0.0,0.00,0.0,0.0,0.0819,MC0095,C,0.3,0.3,0.0,0.0,,
Bruck 155,20.09875,-74.003334,8.7,501187233.627272,0.0,0.0,0.1026,MC0116,C,0.55,0.55,0.0,0.0,PdGR+15,
Bruck 155,20.09875,-74.003334,8.7,501187233.627272,0.0,0.0,0.1026,MC0136,C,0.55,0.55,0.0,0.0,PdGR+15,
Bruck 156,19.894583,-73.09639,7.5,31622776.6016838,0.0,0.0,0.1226,MC0116,C,0.65,0.45,0.0,0.0,GGK10,
Bruck 18,10.276667,-72.72583,0.0,0.00,0.0,0.0,0.0822,MC0093,C,0.35,0.3,0.0,0.0,,
Bruck 18,10.276667,-72.72583,0.0,0.00,0.0,0.0,0.0822,MC0114,C,0.35,0.3,3.0,3.0,,
Bruck 19,10.184583,-73.06167,7.8,63095734.4480193,0.0,0.0,0.093,MC0114,C,0.45,0.35,2.0,2.0,GGK10,
Bruck 20,10.200417,-73.069725,0.0,0.00,0.0,0.0,0.093,MC0114,C,0.3,0.3,2.0,2.0,,
Bruck 21,10.313333,-72.83195,0.0,0.00,0.0,0.0,0.0817,MC0093,C,0.35,0.35,2.0,0.0,,
Bruck 21,10.313333,-72.83195,0.0,0.00,0.0,0.0,0.0817,MC0114,C,0.35,0.35,2.0,0.0,,
Bruck 22,10.33625,-72.824165,0.0,0.00,0.0,0.0,0.0817,MC0093,C,0.35,0.35,2.0,2.0,,
Bruck 22,10.33625,-72.824165,0.0,0.00,0.0,0.0,0.0817,MC0114,C,0.35,0.35,2.0,2.0,,
Bruck 23,10.230833,-73.4025,7.98,95499258.6021437,0.0,0.0,0.0813,MC0114,C,0.6,0.5,1.0,1.0,GGK10.CVH+06.RZ05,
Bruck 26,10.187083,-73.74028,8.23,169824365.246175,0.0,0.0,0.0813,MC0114,C,0.9,0.9,2.0,2.0,GGK10.CVH+06,
Bruck 33,11.0525,-73.619446,8.4,251188643.150958,0.0,0.0,0.0904,MC0114,C,0.5,0.5,0.0,0.0,CVH+06,
Bruck 41,11.36375,-73.70361,8.0,100.000.000.00,0.0,0.0,0.0919,MC0114,C,0.5,0.5,0.0,0.0,GGK10,
Bruck 44,11.564583,-74.37778,0.0,0.00,0.0,0.0,0.0848,MC0134,C,0.5,0.5,0.0,0.0,,
Bruck 50,12.260417,-73.36583,7.0,10.000.000.00,0.0,0.0,0.0904,MC0115,C,0.55,0.55,1.0,1.0,GGK10.CVH+06,
Bruck 52,12.41625,-73.05861,8.5,316227766.016838,0.0,0.0,0.1061,MC0115,C,1.1,1.1,2.0,2.0,CVH+06,
Bruck 54,12.618333,-73.20306,8.2,158489319.246111,0.0,0.0,0.1,MC0115,C,0.65,0.65,1.0,1.0,GGK10.CVH+06,
Bruck 56,12.72875,-73.20167,7.75,56234132.5190349,0.0,0.0,0.0908,MC0115,C,0.45,0.45,2.0,0.0,CVH+06.PU99,
Bruck 64,13.1275,-73.04972,8.18,151356124.843621,0.0,0.0,0.0759,MC0115,C,0.7,0.7,2.0,0.0,GGK10.CVH+06.PU99,
Bruck 66,13.197083,-72.795555,8.6,398107170.553497,0.0,0.0,0.0981,MC0094,C,0.6,0.45,2.0,2.0,GGK10.CVH+06,
Bruck 66,13.197083,-72.795555,8.6,398107170.553497,0.0,0.0,0.0981,MC0115,C,0.6,0.45,2.0,2.0,GGK10.CVH+06,
Bruck 67,13.202917,-73.412224,8.6,398107170.553497,0.0,0.0,0.0904,MC0115,C,0.65,0.5,2.0,2.0,CVH+06.PU99,
Bruck 70,13.359167,-71.7475,0.0,0.00,0.0,0.0,0.0866,MC0094,C,0.55,0.45,0.0,0.0,,
Bruck 71,13.325,-72.76667,7.4,25118864.3150958,0.0,0.0,0.0981,MC0094,C,0.85,0.85,0.0,0.0,GGK10.CVH+06.PU99,
Bruck 71,13.325,-72.76667,7.4,25118864.3150958,0.0,0.0,0.0981,MC0115,C,0.85,0.85,0.0,0.0,GGK10.CVH+06.PU99,
